,Indicator,Province,Value,year,month
748,Tourists Spending (SAR),Jazan,117990283.18,2022,06
749,Tourists Spending (SAR),Jazan,272632383.19,2021,08
750,Tourists Spending (SAR),Jazan,234280785.37,2021,09
751,Tourists Spending (SAR),Jazan,125751864.26,2022,10
752,Tourists Spending (SAR),Jazan,251300626.95,2021,11
753,Tourists Spending (SAR),Jazan,361109266.61,2023,11
754,Tourists Spending (SAR),Jouf,297061180.58,2022,01
755,Tourists Spending (SAR),Jouf,206030689.05,2022,02
756,Tourists Spending (SAR),Jouf,192350335.97,2022,04
757,Tourists Spending (SAR),Jouf,119424114.09,2023,04
758,Tourists Spending (SAR),Jouf,105104416.02,2021,08
759,Tourists Spending (SAR),Jouf,99242542.09,2023,09
760,Tourists Spending (SAR),Jouf,105546008.04,2022,10
761,Tourists Spending (SAR),Jouf,92967204.17,2021,12
762,Tourists Spending (SAR),Jouf,110642758.25,2023,12
763,Tourists Spending (SAR),Madinah,816909769.91,2022,01
764,Tourists Spending (SAR),Madinah,393198170.75,2021,03
765,Tourists Spending (SAR),Madinah,1036537489.29,2022,04
766,Tourists Spending (SAR),Madinah,399915175.91,2022,06
767,Tourists Spending (SAR),Madinah,527780902.65,2023,08
768,Tourists Spending (SAR),Madinah,365666234.56,2022,12
769,Tourists Spending (SAR),Makkah,1847830260.46,2023,01
770,Tourists Spending (SAR),Makkah,1933280183.87,2021,02
771,Tourists Spending (SAR),Makkah,3884238336.53,2021,05
772,Tourists Spending (SAR),Makkah,2104436500.29,2022,11
773,Tourists Spending (SAR),Makkah,2256558503.64,2023,11
774,Tourists Spending (SAR),Makkah,1987365581.91,2021,12
775,Tourists Spending (SAR),Makkah,932482642.16,2022,12
776,Tourists Spending (SAR),Najran,136582152.17,2023,02
777,Tourists Spending (SAR),Najran,170981905.19,2022,04
778,Tourists Spending (SAR),Najran,108139320.49,2023,04
779,Tourists Spending (SAR),Najran,133190084.69,2022,05
780,Tourists Spending (SAR),Najran,124259759.2,2022,10
781,Tourists Spending (SAR),Northern Borders,194383356.12,2022,03
782,Tourists Spending (SAR),Northern Borders,132747767.63,2021,04
783,Tourists Spending (SAR),Northern Borders,129929124.51,2023,04
784,Tourists Spending (SAR),Northern Borders,335707040.3,2022,08
785,Tourists Spending (SAR),Northern Borders,124758604.48,2021,09
786,Tourists Spending (SAR),Northern Borders,98590080.84,2023,09
787,Tourists Spending (SAR),Northern Borders,133103423.11,2022,11
788,Tourists Spending (SAR),Riyadh,2769144034.0,2023,01
789,Tourists Spending (SAR),Riyadh,1373554544.51,2021,02
790,Tourists Spending (SAR),Riyadh,1518754823.68,2023,05
791,Tourists Spending (SAR),Riyadh,1356695389.94,2021,06
792,Tourists Spending (SAR),Riyadh,2748868808.36,2022,07
793,Tourists Spending (SAR),Riyadh,1698160251.44,2021,08
794,Tourists Spending (SAR),Riyadh,2750234369.57,2022,08
795,Tourists Spending (SAR),Riyadh,2327375994.43,2023,09
796,Tourists Spending (SAR),Riyadh,1557202588.44,2021,10
797,Tourists Spending (SAR),Riyadh,3033582739.6,2023,10
798,Tourists Spending (SAR),Tabuk,368928354.16,2021,04
799,Tourists Spending (SAR),Tabuk,261976607.18,2023,04
800,Tourists Spending (SAR),Tabuk,362310359.84,2021,08
801,Tourists Spending (SAR),Tabuk,422177251.98,2022,08
802,Tourists Spending (SAR),Tabuk,447287118.77,2021,11
803,Tourists Spending (SAR),Tabuk,359184427.49,2023,11
